hour,off_hours,event_code,burst_count,user_frequency
12,0,10,3,19
2,1,14,3,26
16,0,5,3,17
20,0,12,1,22
17,0,11,1,22
16,0,10,5,30
21,1,14,1,22
2,1,0,2,30
16,0,3,4,14
22,1,13,2,28
1,1,7,1,17
16,0,7,1,8
16,0,14,3,27
23,1,1,2,29
17,0,13,1,19
21,1,13,2,22
0,1,3,1,17
2,1,14,2,17
23,1,14,1,23
10,0,14,1,21
2,1,3,1,17
0,1,13,1,30
17,0,13,2,15
15,0,1,3,22
10,0,14,2,23
1,1,3,3,22
3,1,14,2,21
16,0,13,2,19
23,1,3,2,19
9,0,12,2,17
9,0,14,2,25
5,1,6,1,20
10,0,2,2,21
4,1,13,1,28
5,1,13,1,17
3,1,7,1,17
10,0,10,3,19
5,1,3,1,22
3,1,7,2,33
20,0,1,3,21
0,1,15,1,19
7,1,13,1,15
6,1,14,1,22
5,1,15,2,20
13,0,14,1,30
8,0,7,2,21
16,0,0,1,19
11,0,1,1,21
17,0,3,1,17
16,0,13,2,22
19,0,7,1,19
5,1,13,1,19
20,0,13,2,17
11,0,11,1,19
22,1,14,1,21
2,1,7,1,21
6,1,0,1,17
6,1,1,1,15
6,1,2,2,15
22,1,0,1,26
4,1,14,1,33
22,1,13,1,21
22,1,15,1,16
11,0,3,1,17
1,1,13,1,30
2,1,13,1,23
3,1,11,1,26
10,0,2,1,29
1,1,14,2,23
17,0,0,2,33
17,0,7,2,19
10,0,3,4,17
9,0,8,4,22
10,0,3,1,18
15,0,1,2,18
18,0,1,1,15
11,0,12,1,19
16,0,9,2,29
13,0,7,2,21
4,1,13,2,21
15,0,14,1,33
15,0,3,1,19
9,0,13,2,28
7,1,4,3,17
10,0,0,3,30
15,0,6,3,22
3,1,11,3,20
8,0,13,3,19
19,0,13,2,21
13,0,1,2,19
21,1,14,2,15
1,1,13,1,15
21,1,8,2,15
15,0,6,2,21
12,0,13,1,21
17,0,14,1,19
23,1,13,1,14
22,1,14,1,21
4,1,10,1,15
18,0,15,1,19
6,1,6,3,15
4,1,14,1,27
17,0,2,1,28
21,1,13,1,18
14,0,13,3,23
10,0,12,2,25
14,0,14,2,30
14,0,14,2,23
12,0,13,3,17
0,1,14,1,15
9,0,3,1,22
2,1,7,1,22
8,0,15,1,23
22,1,14,1,17
16,0,13,1,15
10,0,14,4,19
21,1,13,2,19
9,0,14,1,19
23,1,15,3,19
9,0,14,4,17
14,0,1,3,19
8,0,13,1,27
5,1,13,1,15
15,0,14,1,26
14,0,3,1,18
7,1,14,4,16
23,1,2,2,19
9,0,15,1,22
19,0,10,1,25
15,0,11,1,17
6,1,14,1,25
8,0,13,3,19
21,1,13,2,21
5,1,14,1,15
23,1,7,1,15
15,0,2,1,27
10,0,0,1,17
20,0,0,3,25
15,0,3,3,19
23,1,13,1,18
4,1,13,1,17
2,1,14,1,33
23,1,1,3,25
11,0,7,1,22
5,1,6,2,20
10,0,13,2,33
8,0,3,1,20
10,0,15,1,19
17,0,13,3,22
16,0,14,4,23
14,0,12,2,30
22,1,10,1,33
14,0,13,2,15
1,1,13,2,21
15,0,1,2,19
0,1,3,1,28
23,1,3,1,19
12,0,15,3,18
13,0,14,1,20
16,0,9,1,30
20,0,13,2,22
8,0,15,1,29
7,1,13,3,28
13,0,7,1,29
18,0,1,1,15
11,0,3,3,21
9,0,3,1,33
18,0,4,1,30
8,0,15,1,15
21,1,14,1,22
11,0,2,2,14
13,0,0,1,21
2,1,14,4,20
8,0,14,3,30
18,0,13,1,16
10,0,13,1,19
10,0,13,2,19
3,1,1,3,23
10,0,13,2,21
6,1,14,1,27
14,0,13,1,23
18,0,13,1,22
8,0,14,3,17
6,1,14,1,21
3,1,1,1,21
17,0,13,2,30
2,1,13,1,27
12,0,14,2,22
13,0,14,2,25
23,1,3,1,29
5,1,15,3,16
13,0,1,1,25
22,1,3,2,19
4,1,7,1,23
23,1,13,3,13
16,0,13,5,17
20,0,4,2,19
13,0,13,1,33
22,1,13,2,16
1,1,15,1,15
1,1,9,2,17
5,1,9,1,20
16,0,14,1,15
23,1,14,1,8
17,0,2,3,25
11,0,15,3,19
17,0,2,3,17
1,1,6,1,19
3,1,13,2,18
6,1,3,1,21
13,0,13,1,23
11,0,2,1,20
18,0,14,1,23
11,0,14,1,25
4,1,2,1,23
18,0,14,1,29
21,1,2,1,25
9,0,9,1,28
1,1,13,2,26
20,0,7,3,29
9,0,3,4,23
16,0,13,2,21
9,0,1,1,33
6,1,11,2,21
14,0,8,1,14
15,0,7,2,33
7,1,14,2,22
20,0,13,3,13
5,1,14,1,26
22,1,2,2,8
22,1,6,3,33
22,1,2,3,22
14,0,2,1,19
6,1,2,1,21
1,1,3,2,21
16,0,14,4,15
13,0,13,1,15
20,0,13,2,25
16,0,13,1,22
5,1,13,1,17
19,0,8,1,19
21,1,13,1,21
23,1,15,2,17
13,0,14,2,19
7,1,3,1,17
2,1,14,1,16
7,1,9,2,15
14,0,13,2,21
4,1,1,1,21
22,1,15,1,19
3,1,0,2,17
8,0,1,1,19
2,1,7,3,21
13,0,12,1,25
17,0,10,3,13
0,1,9,4,16
4,1,14,1,23
4,1,7,2,22
3,1,8,2,18
7,1,13,2,33
16,0,1,3,21
19,0,0,1,28
15,0,7,1,16
1,1,13,3,28
23,1,1,2,15
21,1,13,2,25
8,0,13,1,15
5,1,3,3,22
18,0,15,1,30
1,1,14,3,17
11,0,3,2,16
2,1,10,3,19
20,0,1,1,30
8,0,11,2,17
16,0,14,1,25
7,1,13,1,28
8,0,12,1,15
2,1,1,1,25
23,1,15,1,21
14,0,14,2,26
10,0,13,2,19
19,0,7,2,17
5,1,14,2,25
2,1,5,2,30
2,1,8,2,16
18,0,13,1,29
15,0,14,1,21
12,0,14,1,19
6,1,14,1,15
14,0,8,1,30
19,0,14,1,30
12,0,13,2,19
2,1,14,1,22
9,0,3,1,18
9,0,14,2,21
16,0,7,1,21
18,0,15,1,19
0,1,8,1,27
1,1,2,3,33
20,0,1,1,15
2,1,14,2,21
0,1,1,1,17
14,0,0,2,18
8,0,14,1,19
19,0,2,1,27
1,1,13,1,19
10,0,13,1,22
21,1,2,2,30
0,1,7,4,15
17,0,6,1,29
13,0,15,1,19
1,1,7,3,22
11,0,14,2,19
17,0,10,1,17
14,0,2,3,26
0,1,1,2,19
23,1,14,1,19
14,0,13,1,28
5,1,13,1,19
15,0,14,2,21
13,0,2,2,25
6,1,7,3,15
17,0,5,1,30
8,0,13,2,15
14,0,6,3,19
9,0,13,1,18
4,1,0,2,33
9,0,1,1,19
3,1,13,1,19
6,1,13,3,19
5,1,11,2,15
5,1,0,3,15
7,1,14,1,21
19,0,11,1,17
22,1,13,1,19
0,1,15,2,19
23,1,14,2,22
11,0,7,2,29
7,1,9,2,26
1,1,7,3,19
0,1,13,1,21
8,0,7,2,22
1,1,13,3,21
10,0,9,3,27
15,0,9,1,28
4,1,1,2,17
10,0,14,2,18
0,1,14,1,17
8,0,7,2,15
22,1,12,1,17
11,0,7,3,17
21,1,13,2,22
15,0,14,1,15
5,1,1,1,17
12,0,2,2,22
17,0,13,1,17
4,1,3,1,21
9,0,1,2,25
23,1,2,1,20
23,1,3,2,15
21,1,4,1,17
10,0,14,3,19
2,1,9,2,19
11,0,14,1,26
8,0,13,2,19
19,0,1,1,25
8,0,2,1,21
14,0,13,2,20
22,1,3,1,30
13,0,13,1,21
5,1,13,2,19
23,1,12,2,28
15,0,13,1,20
8,0,13,1,21
16,0,7,2,22
18,0,13,1,21
7,1,1,1,30
1,1,13,3,19
16,0,7,4,20
8,0,4,3,17
17,0,6,2,19
8,0,14,2,17
1,1,1,2,18
7,1,9,1,23
19,0,10,2,17
19,0,7,2,15
21,1,13,3,18
16,0,7,5,21
12,0,13,1,19
21,1,0,2,19
3,1,15,3,20
13,0,2,1,21
13,0,2,1,16
5,1,2,1,21
16,0,11,5,19
8,0,13,3,17
7,1,13,1,21
10,0,7,1,30
22,1,13,1,21
18,0,0,1,21
9,0,14,1,13
12,0,15,3,22
11,0,13,3,21
22,1,13,2,17
19,0,8,2,20
13,0,3,1,22
1,1,15,1,17
12,0,13,1,17
4,1,13,1,22
12,0,13,2,19
11,0,9,1,19
20,0,3,2,16
6,1,15,2,15
11,0,1,1,21
21,1,3,2,19
10,0,7,2,19
19,0,14,1,33
13,0,9,1,15
2,1,1,2,29
9,0,15,1,23
0,1,13,1,30
4,1,13,1,15
20,0,2,2,15
3,1,4,2,26
0,1,2,2,27
10,0,2,1,33
3,1,14,1,15
15,0,11,1,19
1,1,14,1,22
20,0,9,1,21
18,0,13,1,20
21,1,2,2,21
20,0,14,1,22
1,1,1,2,17
1,1,15,2,22
12,0,14,1,18
13,0,7,1,27
17,0,7,1,17
23,1,6,1,20
5,1,2,1,22
5,1,1,1,23
20,0,13,1,22
14,0,14,1,26
10,0,0,2,22
0,1,13,1,15
9,0,11,3,21
12,0,14,2,23
0,1,11,1,19
20,0,13,3,21
8,0,9,1,22
20,0,7,1,23
18,0,13,1,15
10,0,11,2,25
3,1,1,1,21
0,1,13,1,15
20,0,0,1,15
21,1,13,1,25
12,0,13,1,19
3,1,12,1,33
8,0,5,3,21
0,1,2,1,26
6,1,15,1,19
7,1,7,4,20
0,1,14,4,25
19,0,7,2,19
8,0,11,1,19
1,1,13,2,21
18,0,13,1,27
11,0,4,1,15
13,0,13,1,33
2,1,15,1,27
13,0,3,1,15
12,0,13,1,25
11,0,15,3,17
7,1,7,3,19
6,1,7,2,22
7,1,13,3,25
7,1,13,4,22
12,0,13,3,20
17,0,14,3,21
21,1,13,1,22
10,0,15,2,22
13,0,14,1,17
5,1,11,1,17
14,0,6,1,30
14,0,2,1,25
20,0,0,2,25
18,0,13,2,33
6,1,2,2,19
20,0,15,1,19
19,0,11,1,23
16,0,14,3,16
3,1,2,1,17
3,1,13,3,26
23,1,13,2,25
20,0,6,1,19
6,1,14,1,30
10,0,15,2,15
1,1,8,2,17
16,0,13,1,16
19,0,8,2,19
20,0,2,2,23
23,1,14,2,19
23,1,7,2,20
18,0,13,1,15
12,0,14,3,19
15,0,7,1,30
4,1,6,2,16
21,1,13,2,17
18,0,6,1,22
12,0,2,1,15
11,0,13,1,30
10,0,9,1,22
5,1,13,1,8
7,1,15,3,16
16,0,7,2,22
20,0,13,1,23
2,1,14,2,17
20,0,15,1,20
8,0,15,1,17
23,1,14,2,28
4,1,3,1,19
23,1,13,3,22
8,0,13,1,33
22,1,14,2,17
7,1,15,2,27
12,0,13,2,15
8,0,5,1,15
10,0,3,3,20
9,0,14,1,21
5,1,13,1,21
21,1,14,1,19
13,0,14,2,22
7,1,1,1,19
22,1,6,2,17
5,1,5,1,27
6,1,14,1,15
4,1,14,3,20
7,1,13,1,15
1,1,14,2,18
17,0,3,2,21
7,1,15,2,22
0,1,13,1,19
4,1,3,1,15
11,0,1,1,20
12,0,2,3,19
9,0,1,3,17
7,1,7,3,18
13,0,14,2,19
23,1,14,2,16
19,0,2,1,21
1,1,13,3,19
16,0,14,5,14
10,0,2,1,26
10,0,3,3,18
8,0,13,2,21
16,0,13,1,21
10,0,13,1,30
4,1,13,1,21
11,0,15,3,21
17,0,10,1,17
9,0,13,4,22
12,0,2,1,33
16,0,12,1,25
20,0,1,3,21
13,0,5,1,17
20,0,3,1,17
8,0,2,2,29
21,1,5,2,16
7,1,13,3,8
20,0,14,3,30
8,0,4,1,19
15,0,12,3,28
13,0,2,2,28
16,0,2,1,17
11,0,14,1,16
0,1,7,1,19
1,1,13,2,18
1,1,15,1,15
14,0,13,2,22
5,1,1,1,18
20,0,2,2,19
23,1,14,1,20
22,1,1,1,17
1,1,14,1,27
20,0,1,1,17
1,1,14,1,30
8,0,14,1,19
0,1,14,2,19
20,0,3,1,28
12,0,13,1,16
8,0,1,1,28
18,0,1,2,14
23,1,7,1,19
21,1,3,1,19
10,0,3,2,30
21,1,1,2,30
12,0,14,3,25
14,0,11,3,21
22,1,3,1,15
23,1,3,2,17
0,1,9,1,29
18,0,2,2,21
10,0,7,1,22
3,1,13,2,20
17,0,1,1,22
8,0,1,1,17
6,1,13,2,20
22,1,1,1,16
10,0,13,2,15
23,1,13,2,15
8,0,13,2,29
18,0,13,1,28
23,1,14,2,15
3,1,8,1,18
3,1,6,2,19
19,0,14,2,20
12,0,12,1,26
4,1,0,3,22
9,0,4,1,30
14,0,10,2,30
12,0,13,2,19
21,1,14,1,17
22,1,15,3,30
16,0,1,4,19
19,0,13,1,27
6,1,7,1,25
23,1,12,3,29
9,0,1,1,19
23,1,1,2,17
3,1,6,2,18
2,1,3,1,21
10,0,15,2,15
4,1,13,1,25
5,1,7,3,21
4,1,13,2,19
10,0,3,1,20
19,0,6,1,29
23,1,1,2,21
16,0,7,1,14
11,0,1,1,25
5,1,13,1,30
14,0,2,3,17
19,0,13,2,13
4,1,13,2,15
22,1,13,1,27
11,0,13,2,14
15,0,5,2,23
19,0,14,1,33
4,1,7,3,23
14,0,7,2,19
17,0,3,3,23
7,1,8,1,15
12,0,13,1,18
7,1,7,1,19
11,0,13,1,21
1,1,13,1,21
21,1,7,2,29
16,0,6,2,13
23,1,8,2,17
10,0,15,1,29
23,1,15,2,30
21,1,15,2,19
15,0,3,1,15
12,0,7,3,17
2,1,14,4,27
3,1,15,1,21
14,0,3,3,30
1,1,1,1,23
16,0,15,1,22
15,0,5,1,30
20,0,1,1,19
0,1,3,1,19
10,0,13,2,22
12,0,3,2,28
11,0,7,2,26
22,1,15,1,13
19,0,13,1,16
16,0,14,3,21
1,1,13,3,28
8,0,6,1,21
2,1,3,4,22
8,0,14,3,30
0,1,0,2,15
12,0,15,1,23
12,0,13,3,21
12,0,7,2,23
21,1,8,1,15
20,0,11,3,22
16,0,13,2,17
5,1,13,3,23
9,0,12,1,15
7,1,15,3,14
21,1,13,3,18
10,0,3,4,30
2,1,2,2,14
7,1,13,3,27
19,0,13,1,30
9,0,13,2,21
17,0,13,1,18
1,1,1,1,30
23,1,12,2,17
16,0,14,2,33
19,0,13,1,15
21,1,7,3,16
7,1,2,1,21
16,0,13,2,16
14,0,13,1,30
9,0,14,1,21
8,0,14,2,28
21,1,1,1,19
14,0,13,1,30
7,1,0,4,19
12,0,10,2,19
16,0,14,2,19
12,0,11,1,22
14,0,1,2,25
1,1,7,1,17
13,0,14,1,19
17,0,1,3,22
20,0,13,3,22
22,1,13,3,20
8,0,13,1,21
1,1,3,3,16
16,0,9,1,28
22,1,8,1,27
4,1,2,1,21
12,0,6,1,14
22,1,13,3,23
14,0,14,2,26
9,0,13,1,26
11,0,5,1,14
22,1,13,1,29
4,1,4,1,28
16,0,10,2,21
20,0,2,3,17
2,1,13,2,13
3,1,1,3,13
6,1,15,1,20
7,1,1,3,19
11,0,10,3,23
12,0,14,1,22
2,1,2,1,19
8,0,13,1,17
10,0,2,2,19
17,0,14,2,20
19,0,12,1,30
17,0,15,1,19
21,1,7,1,19
13,0,14,1,17
17,0,13,2,21
4,1,4,1,19
20,0,13,1,22
21,1,15,1,18
12,0,4,2,21
23,1,11,2,20
16,0,13,4,25
9,0,4,3,21
7,1,14,1,19
2,1,7,1,21
10,0,13,1,19
23,1,13,2,19
6,1,14,1,23
16,0,3,2,13
19,0,2,1,17
9,0,3,1,19
17,0,1,1,26
4,1,13,1,21
1,1,3,1,13
19,0,11,2,26
0,1,14,4,17
19,0,3,1,19
17,0,13,1,19
23,1,14,2,29
15,0,15,1,19
2,1,13,2,17
17,0,13,1,19
22,1,13,2,22
5,1,13,1,26
1,1,14,1,15
12,0,11,1,16
16,0,9,1,27
6,1,13,1,25
10,0,7,1,19
3,1,14,1,21
15,0,14,1,18
12,0,15,3,18
16,0,4,2,16
2,1,2,2,21
3,1,6,3,21
16,0,14,2,21
9,0,14,2,21
13,0,10,1,15
22,1,13,2,21
3,1,13,2,19
6,1,13,1,17
9,0,7,2,30
4,1,2,1,21
8,0,3,1,30
2,1,7,2,21
5,1,6,2,29
7,1,13,1,29
10,0,1,2,17
19,0,12,1,23
4,1,13,1,20
12,0,2,2,15
1,1,2,1,17
21,1,3,1,22
3,1,7,1,21
12,0,14,1,29
14,0,3,2,33
12,0,15,2,30
2,1,7,1,21
12,0,15,2,16
5,1,13,2,17
19,0,3,1,33
19,0,1,1,21
7,1,13,3,29
10,0,2,4,15
17,0,13,1,13
5,1,13,1,25
18,0,0,1,21
4,1,1,1,17
6,1,14,1,19
2,1,14,2,21
1,1,1,1,18
19,0,14,1,29
1,1,13,2,14
22,1,11,3,19
11,0,6,3,27
